Timestamp,CH1,CH2,CH3,Label,Phase
254537,0.6250255754363433,0.42081873366872063,0.6503390764987372,TWO,Phase_3_Mouthing
254541,0.6830455851973121,0.42917694378700305,0.6831329156662836,TWO,Phase_3_Mouthing
254545,0.7739578341164697,0.43479397198354414,0.7104254652840445,TWO,Phase_3_Mouthing
254549,0.8791135171886248,0.437418276944042,0.728821158806487,TWO,Phase_3_Mouthing
254553,0.9341435816431659,0.4371104713666723,0.7421831146029464,TWO,Phase_3_Mouthing
254557,0.9064240214376545,0.43416578927272964,0.7626335183299314,TWO,Phase_3_Mouthing
254561,0.8455772915720556,0.43195578977270643,0.7998565259469156,TWO,Phase_3_Mouthing
254565,0.8352145879552983,0.43660563671789443,0.8488591635319849,TWO,Phase_3_Mouthing
254569,0.8988886675364076,0.4504238468929542,0.8934054295975283,TWO,Phase_3_Mouthing
254573,0.9761619997347889,0.4666474310688564,0.922865905541469,TWO,Phase_3_Mouthing
254577,1.0,0.4740976554210399,0.9411726078196734,TWO,Phase_3_Mouthing
254581,0.9769670617189815,0.4680344385185376,0.9572435621293187,TWO,Phase_3_Mouthing
254585,0.9620924559632698,0.45433466891599716,0.971469555853609,TWO,Phase_3_Mouthing
254589,0.9608917402844509,0.4417463972935066,0.9768794172487596,TWO,Phase_3_Mouthing
254593,0.9041866795590714,0.4326460510292448,0.9721392241069283,TWO,Phase_3_Mouthing
254597,0.7488909896788417,0.42473130551413607,0.9666163520132652,TWO,Phase_3_Mouthing
254601,0.5707568415258828,0.42004574097204556,0.9686358409419141,TWO,Phase_3_Mouthing
254605,0.5098320829257389,0.4264018274985271,0.9725720902513815,TWO,Phase_3_Mouthing
254609,0.6234052556974885,0.44704551324620445,0.9638418383278771,TWO,Phase_3_Mouthing
254613,0.8220996480232906,0.47203335273875485,0.9369712955559653,TWO,Phase_3_Mouthing
254617,0.9596438670653047,0.4841069905717215,0.9041527542239615,TWO,Phase_3_Mouthing
254621,0.9687461900628761,0.473885359420163,0.8839568701158147,TWO,Phase_3_Mouthing
254625,0.8984408039423264,0.447766178635025,0.8838176098464294,TWO,Phase_3_Mouthing
254629,0.8320343096271307,0.4209957376947378,0.8954801229555824,TWO,Phase_3_Mouthing
254633,0.794695775058176,0.4050864952003401,0.90612305475601,TWO,Phase_3_Mouthing
254637,0.7541123117274012,0.40210269373704083,0.9104897692413287,TWO,Phase_3_Mouthing
254641,0.692705671941309,0.40720113069085073,0.9110961789556574,TWO,Phase_3_Mouthing
254645,0.641947890802418,0.4128758713658648,0.9106812491883357,TWO,Phase_3_Mouthing
254649,0.6332925822624962,0.41236816726996683,0.9097421752168292,TWO,Phase_3_Mouthing
254653,0.6456586621634135,0.4040525775303145,0.9110986627086555,TWO,Phase_3_Mouthing
254657,0.6309612829094007,0.39414151092736033,0.9211394204063882,TWO,Phase_3_Mouthing
254661,0.5799074552022153,0.3920139153139293,0.9423703527348701,TWO,Phase_3_Mouthing
254665,0.5373003626136336,0.4006611276549301,0.9660389608040953,TWO,Phase_3_Mouthing
254669,0.5532901547420941,0.4132628886696175,0.9768334286276598,TWO,Phase_3_Mouthing
254673,0.6322293259901436,0.4206660723727122,0.9678216351106004,TWO,Phase_3_Mouthing
254677,0.7277275177561066,0.42045401302947505,0.9484488037984238,TWO,Phase_3_Mouthing
254681,0.7805585149420711,0.41700911796702395,0.9340195570426527,TWO,Phase_3_Mouthing
254685,0.763806403194374,0.41494433810250375,0.9287339446618748,TWO,Phase_3_Mouthing
254689,0.6994589621437918,0.4152773604588365,0.9235844377436043,TWO,Phase_3_Mouthing
254693,0.6369982058089132,0.41676688670831924,0.9105050402125168,TWO,Phase_3_Mouthing
254697,0.616467378734391,0.41788124202650795,0.8933499330093534,TWO,Phase_3_Mouthing
254701,0.6459391461001763,0.41705504522643805,0.8826584192789154,TWO,Phase_3_Mouthing
254705,0.7026152554004337,0.41321144343561084,0.8828038392227348,TWO,Phase_3_Mouthing
254709,0.7496617678373017,0.40746631023676494,0.8876682368156696,TWO,Phase_3_Mouthing
254713,0.761711929425367,0.40344525136829873,0.8881259948168225,TWO,Phase_3_Mouthing
