Timestamp,CH1,CH2,CH3,Label,Phase
325309,0.49533120947519815,0.4975142197398795,0.5833581098726621,NOISE,Phase_3_Mouthing
325313,0.5021405668057789,0.47705711226015446,0.5800704640927753,NOISE,Phase_3_Mouthing
325317,0.5056781788269087,0.46155659829004747,0.5799753845603871,NOISE,Phase_3_Mouthing
325321,0.5038370784316426,0.4579654168709105,0.5808584129469806,NOISE,Phase_3_Mouthing
325325,0.4960939503605103,0.47034819642079573,0.5765682148545512,NOISE,Phase_3_Mouthing
325329,0.48548319616071833,0.48339502079862845,0.5636293482105035,NOISE,Phase_3_Mouthing
325333,0.47818853683404317,0.4646818228439542,0.545078022387534,NOISE,Phase_3_Mouthing
325337,0.47911051085714773,0.39934777798609794,0.5301174317363482,NOISE,Phase_3_Mouthing
325341,0.4867990221843145,0.32186078958575653,0.5311962610791563,NOISE,Phase_3_Mouthing
325345,0.4936691398060622,0.29801699854906316,0.5561771573684218,NOISE,Phase_3_Mouthing
325349,0.49323886030742436,0.36467857590206837,0.5969062684152181,NOISE,Phase_3_Mouthing
325353,0.4875096102095696,0.4881718841268928,0.6270708937240674,NOISE,Phase_3_Mouthing
325357,0.4849732115064506,0.5863439009492469,0.6198274805192361,NOISE,Phase_3_Mouthing
325361,0.489887873070765,0.5952735674758245,0.5733720024388743,NOISE,Phase_3_Mouthing
325365,0.49574372336789546,0.5211772781499789,0.5180650196617016,NOISE,Phase_3_Mouthing
325369,0.4924886553026642,0.43463245746595064,0.49415023973241573,NOISE,Phase_3_Mouthing
325373,0.4797953779192569,0.41374045841813256,0.5184836335542596,NOISE,Phase_3_Mouthing
325377,0.4696176666371364,0.48321767459161774,0.570574046074979,NOISE,Phase_3_Mouthing
325381,0.4730515075100509,0.5986234551749386,0.6114059868692147,NOISE,Phase_3_Mouthing
325385,0.4856292326549032,0.6855738517553602,0.6179286885399632,NOISE,Phase_3_Mouthing
325389,0.4897912965653727,0.696509142089625,0.6010872541751948,NOISE,Phase_3_Mouthing
325393,0.4758603565684993,0.6391121747043093,0.5928328800816215,NOISE,Phase_3_Mouthing
325397,0.45868247452267685,0.5620634198497519,0.6169039670540609,NOISE,Phase_3_Mouthing
325401,0.465229967937291,0.5147114085595097,0.6675047006999949,NOISE,Phase_3_Mouthing
325405,0.4993115897540367,0.5102326699479459,0.7107493160415357,NOISE,Phase_3_Mouthing
325409,0.5224002104243459,0.5226595216106,0.7109485409858928,NOISE,Phase_3_Mouthing
325413,0.482701948920444,0.5220282714388969,0.6650356825450139,NOISE,Phase_3_Mouthing
325417,0.3749498592888554,0.5062005594166977,0.6119971183918009,NOISE,Phase_3_Mouthing
325421,0.2674546659307203,0.48727141958529563,0.5990474256361686,NOISE,Phase_3_Mouthing
325425,0.2495422762002282,0.45441276807763065,0.6315050867892195,NOISE,Phase_3_Mouthing
325429,0.33675171516151975,0.37587122569479176,0.6612745380467318,NOISE,Phase_3_Mouthing
325433,0.43893719840411577,0.25354914508532783,0.6370595258441836,NOISE,Phase_3_Mouthing
325437,0.44882469383577145,0.16337556149551496,0.5681132885470517,NOISE,Phase_3_Mouthing
325441,0.36888246918102924,0.20854798248387843,0.5250291142558331,NOISE,Phase_3_Mouthing
325445,0.32497454036866585,0.4066630622651788,0.5667757016837617,NOISE,Phase_3_Mouthing
325449,0.4309014553869539,0.6339416819326494,0.6726022489139204,NOISE,Phase_3_Mouthing
325453,0.651234409451481,0.7209395443975619,0.7566946542894899,NOISE,Phase_3_Mouthing
325457,0.8254063866256651,0.6230003454771966,0.7516708186295925,NOISE,Phase_3_Mouthing
325461,0.8293404458877326,0.4727714837725876,0.6735074243599786,NOISE,Phase_3_Mouthing
325465,0.6935391755480393,0.4381874640105177,0.6028645714649186,NOISE,Phase_3_Mouthing
325469,0.5568497937612197,0.5396322020440826,0.6048655665192708,NOISE,Phase_3_Mouthing
325473,0.5221456662454941,0.6361361655968149,0.6696885001166549,NOISE,Phase_3_Mouthing
325477,0.5714434334650961,0.5939359304570718,0.7308671320288351,NOISE,Phase_3_Mouthing
325481,0.6134647655204742,0.4398451109885408,0.7364830012331433,NOISE,Phase_3_Mouthing
325485,0.5918391351067995,0.3295536379547437,0.69775637903708,NOISE,Phase_3_Mouthing
325489,0.5325566561934775,0.380222495542245,0.6698107959337413,NOISE,Phase_3_Mouthing
325493,0.4933514201113246,0.5566538646524899,0.6907991962675677,NOISE,Phase_3_Mouthing
325497,0.49086970820820075,0.7177919413026128,0.7425288750502472,NOISE,Phase_3_Mouthing
325501,0.4941552537248253,0.7545683503230561,0.7693048135985296,NOISE,Phase_3_Mouthing
325505,0.4797025900687251,0.6748569241016679,0.7340365706075724,NOISE,Phase_3_Mouthing
325509,0.4677812220376759,0.5628991545460991,0.6554485674587924,NOISE,Phase_3_Mouthing
325513,0.4936237110551767,0.47231383941570887,0.5903962132715951,NOISE,Phase_3_Mouthing
325517,0.5545844332248572,0.3806450038837246,0.5812192624258753,NOISE,Phase_3_Mouthing
325521,0.60175797977192,0.258968898912843,0.6202471504940186,NOISE,Phase_3_Mouthing
325525,0.5889430598553368,0.15942887474814457,0.6609556116284715,NOISE,Phase_3_Mouthing
325529,0.5247563006971617,0.1885226022041252,0.6601016265417757,NOISE,Phase_3_Mouthing
325533,0.46697387084685826,0.379951620738344,0.6118885392506647,NOISE,Phase_3_Mouthing
325537,0.4612953546729453,0.6212105359769127,0.5443533149189491,NOISE,Phase_3_Mouthing
325541,0.49362406198604214,0.734227838292444,0.48177764140635176,NOISE,Phase_3_Mouthing
325545,0.5117146580269387,0.6322736212204455,0.4147663010071638,NOISE,Phase_3_Mouthing
325549,0.4880146972172189,0.3932003664850042,0.3185618736818342,NOISE,Phase_3_Mouthing
325553,0.4479788306384253,0.18533938339089953,0.20411030284005624,NOISE,Phase_3_Mouthing
325557,0.43631994080456454,0.1293732005341288,0.13748006455804487,NOISE,Phase_3_Mouthing
325561,0.46811766432420626,0.2213887377338189,0.1918695962130098,NOISE,Phase_3_Mouthing
325565,0.5195595352585878,0.36334378200663536,0.3751030167357834,NOISE,Phase_3_Mouthing
325569,0.5584159380422937,0.45137717388755655,0.6085090267552176,NOISE,Phase_3_Mouthing
325573,0.5728642392208719,0.44607196202329535,0.7819091407911279,NOISE,Phase_3_Mouthing
325577,0.5715374947707986,0.384322038273251,0.8342519438577417,NOISE,Phase_3_Mouthing
325581,0.5662367872846611,0.3390452009960646,0.7882231875890228,NOISE,Phase_3_Mouthing
325585,0.561718843432867,0.3619427051918176,0.7146494343960635,NOISE,Phase_3_Mouthing
325589,0.5589034286858648,0.44863077660930656,0.6680688753528577,NOISE,Phase_3_Mouthing
325593,0.5599853456669458,0.5463303805899298,0.6546609892822488,NOISE,Phase_3_Mouthing
325597,0.5665565590359144,0.5952831488093363,0.6518665235006379,NOISE,Phase_3_Mouthing
325601,0.5751154405030319,0.5735351029060756,0.6453192640414885,NOISE,Phase_3_Mouthing
325605,0.5784267167325139,0.5120160214694575,0.6409269225066752,NOISE,Phase_3_Mouthing
325609,0.572448540241471,0.46736081642506905,0.6470691984855731,NOISE,Phase_3_Mouthing
325613,0.5609104583786896,0.47448454057656814,0.6560010716396337,NOISE,Phase_3_Mouthing
325617,0.5527735686909246,0.5209964323731451,0.6500104294854485,NOISE,Phase_3_Mouthing
325621,0.5553450535234802,0.5657776638525606,0.624920317207171,NOISE,Phase_3_Mouthing
325625,0.5684419847702039,0.5793729367542769,0.5996979127437423,NOISE,Phase_3_Mouthing
325629,0.5832878368371773,0.5640301730230077,0.596737512807711,NOISE,Phase_3_Mouthing
325633,0.587677448352321,0.5402009877313637,0.6156951335114114,NOISE,Phase_3_Mouthing
325637,0.5747187670465231,0.5247290227631344,0.6349746444837358,NOISE,Phase_3_Mouthing
325641,0.5473529432870077,0.5247558361515531,0.6412076244090744,NOISE,Phase_3_Mouthing
325645,0.5144103448103218,0.542538115966583,0.6476926462135475,NOISE,Phase_3_Mouthing
325649,0.4851095118319006,0.5756767771653751,0.671261201835477,NOISE,Phase_3_Mouthing
325653,0.46929553965597015,0.612213316378454,0.6949657840264546,NOISE,Phase_3_Mouthing
325657,0.4772106966241547,0.632658081689259,0.6764944942453397,NOISE,Phase_3_Mouthing
325661,0.5103021767062667,0.6245698438354756,0.6052078660345115,NOISE,Phase_3_Mouthing
325665,0.5530751028273003,0.5971354568668137,0.5312646000690567,NOISE,Phase_3_Mouthing
325669,0.5838074782504394,0.5754564688159671,0.5157834968272742,NOISE,Phase_3_Mouthing
325673,0.5968483877251082,0.5742258106922539,0.55983195325032,NOISE,Phase_3_Mouthing
325677,0.6057685269627228,0.5795716970419412,0.603689712289688,NOISE,Phase_3_Mouthing
325681,0.6188976736433444,0.5642136421367546,0.5968901259375698,NOISE,Phase_3_Mouthing
325685,0.6214086743691662,0.5222796679581959,0.5531675365628149,NOISE,Phase_3_Mouthing
325689,0.5930795615908947,0.48460394358398196,0.5289768579165808,NOISE,Phase_3_Mouthing
325693,0.5383460968295358,0.494574499765923,0.5555011832553199,NOISE,Phase_3_Mouthing
325697,0.48554711020120034,0.5651187102767887,0.6036686326914019,NOISE,Phase_3_Mouthing
325701,0.4578389246145275,0.658022346203053,0.6197270086872265,NOISE,Phase_3_Mouthing
325705,0.45663700509539074,0.7092786403960496,0.5862617264351435,NOISE,Phase_3_Mouthing
325709,0.47298161993481636,0.6821475803743295,0.5378979005083989,NOISE,Phase_3_Mouthing
325713,0.5019466265949769,0.6003017191595568,0.5195198851899505,NOISE,Phase_3_Mouthing
325717,0.5411926878650871,0.5279283704030662,0.5397453563874505,NOISE,Phase_3_Mouthing
325721,0.5835225839178521,0.5129014913078804,0.56876431060968,NOISE,Phase_3_Mouthing
325725,0.6170185896701342,0.5469953551117026,0.574629265245705,NOISE,Phase_3_Mouthing
325729,0.6309291252404823,0.5819887390294431,0.5535411609135007,NOISE,Phase_3_Mouthing
325733,0.619799358104304,0.5821379389025674,0.5243195446588406,NOISE,Phase_3_Mouthing
325737,0.585919258601984,0.5555035594223386,0.50191043176947,NOISE,Phase_3_Mouthing
325741,0.5442763042196045,0.535569216360298,0.48560478302738863,NOISE,Phase_3_Mouthing
325745,0.5236015976647692,0.5428606018483186,0.4715299541145944,NOISE,Phase_3_Mouthing
325749,0.5492010749339442,0.5700000415813782,0.46407040108144093,NOISE,Phase_3_Mouthing
325753,0.615114746652651,0.5961337269142172,0.4661153216635435,NOISE,Phase_3_Mouthing
325757,0.6806178288105096,0.6061336338089126,0.46539641100555923,NOISE,Phase_3_Mouthing
325761,0.7043492170508244,0.5970248042310727,0.4466663733266655,NOISE,Phase_3_Mouthing
325765,0.6784159283282617,0.5740406356392734,0.4201314157092859,NOISE,Phase_3_Mouthing
325769,0.6260131162613297,0.5456400423431436,0.4204714013387361,NOISE,Phase_3_Mouthing
325773,0.5788379819694742,0.5218952013686677,0.4640801056441768,NOISE,Phase_3_Mouthing
325777,0.5645623598747992,0.5137275234853486,0.5170133776975765,NOISE,Phase_3_Mouthing
325781,0.593624421743673,0.5272656474782663,0.5229230287942296,NOISE,Phase_3_Mouthing
325785,0.6302846806404344,0.551992935453474,0.46499309783722087,NOISE,Phase_3_Mouthing
325789,0.5893313900299737,0.5544733631388983,0.3899551874178302,NOISE,Phase_3_Mouthing
325793,0.4084439421213559,0.49851185645098767,0.3632843826027914,NOISE,Phase_3_Mouthing
325797,0.14956445944194607,0.3908157959118875,0.4014391909791245,NOISE,Phase_3_Mouthing
325801,0.0,0.3041495454724529,0.45503887049894626,NOISE,Phase_3_Mouthing
325805,0.12090515881407923,0.3274034423828264,0.46343733094374023,NOISE,Phase_3_Mouthing
325809,0.47680259500619404,0.4745529869365599,0.42026549301530225,NOISE,Phase_3_Mouthing
325813,0.8424109577750695,0.6563839040305409,0.3768134976333824,NOISE,Phase_3_Mouthing
325817,1.0,0.7594508151125837,0.3839071780768021,NOISE,Phase_3_Mouthing
325821,0.9184644503267267,0.746518541358759,0.44054871888379343,NOISE,Phase_3_Mouthing
325825,0.7355733809090542,0.6699737582978215,0.5006432309044004,NOISE,Phase_3_Mouthing
